Codigo,Descripcion,PrecioVenta,PrecioVentaEspecial
17666,Diesel Oil CI-4 SAE 15w40 208 L,"11,910.00","13,235.00"
17725,Tractor Oil JD/MF            19 L,"1,018.00","1,132.00"
17726,Tractor Oil JD/MF          208 L,"10,698.00","11,888.00"
17735,Tractor Oil                      19 L,952,"1,058.00"
17736,Tractor Oil                    208 L,"9,082.00","10,092.00"
17775,BARDAHL FUSION DIESEL 15W40 CI-4 PLUS PREMIUM 19 L,"1,142.00","1,269.00"
17776,BARDAHL FUSION DIESEL 15W40 CI-4 PLUS PREMIUM 208 L,"11,999.00","13,332.00"
17825,Diesel Premium CD 11 SAE 50     19 L,850,936.51
17925,Turbine Oil ISO VG 32  19L,"1,026.00","1,140.00"
17956,Bardahl Turbine Oil 46  208 Lts.,"10,786.00","11,985.00"
17976,Bardahl Turbine Oil 100  208 Lts.,"9,787.00","10,874.00"
18415,Grasa Litio 2        16 Kg.,970,"1,078.00"
18418,Bardahl Multilitio 2 180 KG,"10,480.00","11,645.00"
18511,Grasa J. Homocineticas 2    450 g.,35.2,39.2
18515,Grasa J. Homocineticas         16 Kgs,"1,205.00","1,339.00"
18535,Lubarsa Grafitada   16 Kgs.,954,"1,070.00"
18611,Grasa Fibrosa 3           450 gr,28,31.2
18615,Grasa Fibrosa 3             16 Kg,917,"1,018.00"
18618,Grasa Fibrosa 3  180 KG,"9,893.00","10,991.00"
18710,Grasa  Bat. 3   250 grs,21.5,24
18711,Grasa  Bat. 3   450 grs,33.7,37.5
18712,Grasa Bentona 3.5 KG,205.5,230
18715,Grasa Bat. 3  16 Kgs,901.5,"1,002.00"
18718,Grasa Bat. 3  180 Kgs,"9,723.00","10,804.00"
18811,Grasa Chasis 2              450 grs,24.5,27.5
18812,Grasa Chasis 2 3.5 KG,160,178
18815,Grasa Chasis 2                16 Kgs,696,773
18818,Grasa  Chasis 2             180 Kgs,"7,422.00","8,302.00"
19005,Hydraulico Oil ISO 32         19 L,837,930
19006,Hydraulico Oil ISO 32        208 L,"8,794.00","9,771.00"
19015,Hydraulico Oil ISO 46          19 L,837,930
19016,Hydraulico Oil ISO 46         208 L,"8,794.00","9,771.00"
19025,Hydraulico Oil ISO 68           19 L,837,930
19026,Hydraulico Oil ISO  68        208 L,"8,794.00","9,771.00"
19029,Hydraulic Oil ISO 68 Contenedor 1000 Lt,"40,584.00","45,093.00"
19035,Hydraulico Oil ISO 100         19 L,899.5,999
19036,Hydraulico Oil ISO 100        208 L,"9,452.70","10,503.00"
19066,BARDAHL MAXLUB MR EP ISO VG 150 208 L,"11,046.00","12,274.00"
19075,Bardahl Maxlub MR EP ISO VG 220 19 L,"1,051.00","1,168.00"
19085,Maxlub EP 320      19 L.,"1,051.00","1,168.00"
19086,Maxlub EP 320  208 L,"11,046.00","12,274.00"
19095,Maxlub EP 460  19 L,"1,051.00","1,168.00"
19105,Bardahl Maxlub MR EP ISO VG 680 19 L.,954,"1,060.00"
19306,Hydraulico Oil ISO 150       208 L,"10,023.00","8,607.94"
19615,Soluble Oil     19 L,"1,672.00","1,858.00"
19645,Cut OIL          19 Lts.,"1,068.00","1,186.00"
19686,Bardahl Transformer Oil 35 KV BD 208 L.,"7,787.00","9,652.00"
19695,Trans. Cat. TO-4 SAE 10W  19 L.,"1,346.00","1,496.00"
19696,Trans. Cat. TO-4 SAE 10W  208L.,"12,825.00","14,250.00"
19699,Trans. Cat. TO-4 SAE 10W  Contenedor 1000 L.,"65,310.00","72,567.00"
19781,Bardahl Lubricante P/Maq. Tortilladora 950ML.,40,44
19845,Bardahl Hydraulic Oil Wz ISO VG 68 19 L,944,"1,019.00"
19846,Hydraulic Oil Wz ISO 68 TB 208 L,"9,002.00","10,003.00"
20011,Bital  MR    473 ML,41,45.5
22005,Bardahl Refrigeracion ISO VG 68 19 Lt,917,"1,020.00"
22006,Bardahl Refrigeracion ISO VG 68 208 Lt,"8,582.00","9,535.00"
22105,Bardahl Slide Oil EP  ISO VG 68  19 LTS.,860,"1,022.00"
22106,Bardahl Slide Oil EP ISO Vg 68 208 Lts,"9,665.00","10,738.00"
22115,Bardahl  Slide Oil Ep ISO VG 220 19 Lts,952,"1,058.00"
22325,Heat Tranfer Oil ISO VG 100 19 Lt,"1,018.00","1,132.00"
22326,Heat Transfer Oil ISO VG 100  208 L,"10,699.00","11,888.00"
22405,Bardahl Maxilub MR Compresor ISO 68 19L,925,"1,053.00"
22415,Bardahl Compresores ISO VG 100 19L.,950,"1,053.00"
22425,Bardahl Compresores 150 19L.,950,"1,053.00"
22526,"Bardahl  Drilling Oil ISO VG 150, 208 L","10,932.00","12,146.00"
22825,Bardahl Turbine Oil SP ISO VG 68  19 Lts.,"1,056.00","1,140.00"
22826,Bardahl Turbine Oil SP ISO VG 68  208 Lts.,"10,996.00","11,985.00"
22929,"Bardahl Hydraulic Oil HVI ISO VG 68  Contenedor 1,000 Lts.","47,906.00","53,906.00"
23105,Bardahl   White Oil 100 Tec 19 Lt,"1,018.00","1,132.00"
23126,Bardahl Petrolub MR White Oil Tex 208 L,"10,699.00","11,888.00"
25003,Protect AII        500 ML,43.9,48.78
25005,Kolor Rojo,0,0
25006,Kolor Blanco    473 ML,34,40
25016,Protect AII            20 L,"1,250.00","1,400.00"
25020,Lava y Encera    500 ML,35,45
25021,Lava Y Encera        1 L,40,42.55
25024,Lava y Encera       19 Lts,760,"1,550.00"
25025,Kita Grasa,0,0
25030,Kita Grasa 19LTS.,520.88,581.65
25031,Brillanta 400grs.,0,0
25041,Liquido Limpia Parabrisas 1 Lts,23,25.3
25042,Liquido Limpia Parabrisas Galon,72,76
26102,Bardahl Cera Liquida 250 Ml,32.7,36.3
26203,Bardahl Solucion Total 600 Ml,43,47.85
26303,Bardahl Abrillanta 600 Ml,57.5,63.5
26403,Bardahl Quita Manchas 600 ML,37.9,42
26405,Bardahl Quita Manchas 19L.,740,823
28112,Grasa Lubarsa Litio EP 2 3.5 KG,227.5,245
28115,Grasa Lubarsa Litio EP 2    16 Kg.,970.5,"1,079.00"
28118,Grasa Lubarsa Litio EP 2  180 Kgs,"10,800.00","11,645.00"
28215,Bardahl Lubarsa MR. Litio Molly 2,"1,456.00","1,498.00"
30030,Pkt Navidad 5 X Super Racing 20W-50 .950,206,0
30032,KIT Hielera de Proteccion Bardahl,190,212
30033,PKT Bardahl 4x S Racing Alto Km 25w50,215.55,0
30036,KIT Escolar Racing Alto KM. 25W 50 4 L.,215.55,0
30042,PKT Racing Oil para mas de 100.000 Kms.  950Ml.,204,198
30043,PKT Racing oIL 20w50 SL  950 ML.,204,196
30080,AROMATIZANTE CARRAZO 1 TIRA DE 24 PZAS,9,10
30081,AROMATIZANTE CARRAZO 3 PACK,9,10
30082,AROMATIZANTE TAXILIO 1 TIRA DE 24 PZAS,9,10
30083,AROMATIZANTE TAXILIO 3 PACK,9,10
30084,AROMATIZANTE MUSTANGUIA 1 TIRA DE 24 PZAS,9,10
30085,AROMATIZANTE MUSTANGUIA 3 PACK,9,10
30086,AROMATIZANTE WOSHITO 1 TIRA DE 24 PZAS,9,10
30087,AROMATIZANTE WOSHITO 3 PACK,9,10
30091,"PKT 4 BARDAHL SRO MAS DE 100,000 KM 950 ML / PLAYERA MUN",204,198
30092,PKT 4 BARDAHL FUSION 20W-50 API SN 950 ML / PLAYERA MUND,212,220
40100,Filtro Automotriz OFB-2           Pza.,28.6,28.6
40101,Filtro Automotriz OFB-5           Pza.,28.6,28.6
40102,Filtro Automotriz OFB-8           Pza.,28.6,28.6
40103,Filtro Automotriz OFB-13         Pza.,28.6,28.6
40104,Filtro Autumotriz OFB-16         Pza.,28.6,28.6
40105,Filtro Automotriz OFB-30         Pza.,28.6,28.6
40106,Filtro Automotriz OFB-43         Pza.,28.6,28.6
40107,Filtro Automotriz OFB-927       Pza.,40.7,40.7
40108,Filtro Automotriz OFB-2500     Pza.,28.6,28.6
40109,Filtro Automotriz OFB-2825     Pza.,28.6,28.6
40110,Filtro Automotriz OFB-2870     Pza.,28.6,28.6
40111,Filtro Automotriz OFB-3506     Pza.,28.6,28.6
40112,Filtro Automotriz OFB-3387     Pza.,28.6,28.6
40113,Filtro Automotriz OFB-3535     Pza.,28.6,28.6
40114,Filtro Automotriz OFB-3593     Pza.,28.6,28.6
40115,Filtro Automotriz OFB-3600     Pza.,28.6,28.6
40116,Filtro Automotriz OFB-3614     Pza.,28.6,28.6
40117,Filtro Automotriz OFB-3682     Pza.,28.6,28.6
40118,Filtro Automotriz OFB-3980     Pza.,28.6,28.6
40119,Filtro Automotriz OFB-6607     Pza.,28.6,28.6
70051,"Mexlub Titanium MR, SL SAE 40   900 Ml",50,56
70061,"Mexlub Titanium MR, SL SAE 50   900 Ml",50,56
70065,Mexlub SL 50 19 Lt,936,950
70110,Mexlub ATF Dexron 11       900 ML,44,50
70115,Mexlub ATF Dexron 11          19 L,750,890
70117,Mexlub ATF Dexron 11         208 L,"7,673.00","9,650.00"
70207,Mexlub Diesel CD Serie 3 SAE 50  208 L,"7,127.14","7,919.05"
70215,Mexlub Diesel CD Serie 3 SAE 40    19 L,650,684
70217,Mexlub Diesel CD Serie 3 SAE 40  208 L,"7,000.00","7,696.00"
70225,Mexlub Diesel CF Serie 3 SAE 40    19 L,650,720
70227,Mexlub Diesel CF Serie 3 SAE 40   208 L,"7,000.00","7,696.00"
70235,Mexlub Diesel CF Serie 3 SAE 50    19 L,646,710
70237,Mexlub Diesel CF Serie 3 SAE 50   208 L,"7,204.29","8,004.76"
70315,Mexlub Diesel CH-4 15w40        19 L,998.5,"1,009.00"
70317,Mexlub Diesel CH-4 15w40       208 L,"10,492.00","10,600.00"
70320,Mexlub SF SAE 40              900 ML,50,56
70324,Mexlub SF SAE 40                  5 L,235,270
70325,Mexlub SF SAE 40                19 L,936,950
70327,Mexlub SF SAE 40              208 L,"9,842.00","9,692.00"
70370,Mexlub SF SAE 50              900 ML,50,56
70374,Mexlub SF SAE 50                  5 L,235,270
70375,Mexlub SF SAE 50                19 L,760,798
70377,Mexlub SF SAE 50              208 L,"9,842.00","9,692.00"
70380,Mexlub SF SAE 60              900 ML,45,50
70415,Mexlub Diesel CH-4 20w50       19 L,998.5,"1,009.00"
70417,Mexlub Diesel CH-4 20w50      208 L,"10,492.00","11,658.00"
70419,MEXLUB MR DIESEL CH-4 SAE 20W50 CONTENEDOR 1000 L,"44,029.00","49,500.00"
70450,Mexlub SL SAE  15w40             900 ML,50,56
70460,Mexlub SL SAE  20w50            900 ML,50,56
70465,"MEXLUB MR, SL 20W50, 19L",936,"1,040.00"
70467,"Mexlub MR, SL 20W50, 208L","9,842.00","10,936.00"
70630,Mexlub Diesel CF/CF-2 SAE 40    900 ML,41,49
70634,Mexlub Diesel CF/CF-2 SAE 40        5 L,200,245
70635,Mexlub Diesel CF/CF-2 SAE 40       19 L,722,810
70637,Mexlub Diesel CF/CF-2 SAE 40      208 L,"7,800.00","8,760.00"
70640,Mexlub Diesel CF/CF-2 SAE 50    900 ML,41,49
70644,Mexlub Diesel CF/CF-2 SAE 50        5 L,200,245
70645,Mexlub Diesel CF/CF-2 SAE 50       19 L,722,810
70647,Mexlub Diesel CF/CF-2 SAE 50      208 L,"7,800.00","8,760.00"
70675,MEXLUB P/MOTORES A DIESEL CON GRAN KILOMETRAJE 25W50 19 L,750,850
70677,MEXLUB P\MOTORES A DIESEL C\GRAN KILOMETRAJE 25W50 208LTS,"7,900.00","8,350.00"
72520,TCW II ( Dos Tiempos )       900 ML,50,50
73107,MEXLUB MR TECNOL 100 208 L,"10,090.00","11,210.00"
74213.,Mexlub Anticongelante Refrigerante Galon,52.8,58.7
74231,Mexlub MR Refrigerante Climatizado Doy Pack   1L,19.1,23
75011,Mexlub Liquido para Frenos DOT-3 300 ML,19,21
75021,Mexlub Liquido p/Frenos LF-3 250 ML,18,20
77400,Transmision 90       900 ML,44,46
77405,Transmision 90         19 L,750,840
77407,Transmision 90       208 L,"7,306.00","8,766.00"
77410,Transmision 140      900 ML,44,46
77415,Transmision 140        19 L,750,840
77417,Transmision 140       208 L,"7,306.00","8,766.00"
77425,Transmision 250         19 L,750,840
77427,Transmision 250        208 L,"8,130.16","8,130.16"
77705,Mexlub  Fluido Tractor BB    19 L,743,936
77915,Turbinas Nº 11 19 L,836,920
79005,Hidraulico MH 220       19 L,770,886
79007,Hidraulico MH 220     208 L,"8,376.00","9,306.00"
79015,Hidraulico MH 300       19 L,770,886
79017,Hidraulico MH 300      208 L,"8,376.00","8,960.00"
79025,"MEXLUB MR, HIDRAULICO DTH 450, 19 LT",770,910
79605,Mexlub Aceite Soluble Especial No.4 19 L,"1,326.00","1,474.00"
79689,Mexlub MR Transformadores BD Contenedor 1000 Lts.,"30,345.00","33,700.00"
CRC85081,Limpiador  Carbuclean  Clean-R-Carburec   340gm.,39,43
D12300,DIATOR SHAMPOO SUPER  950 ML,28,0
D12313,Diator Velox MR Motos 2T 250 ML,15.5,17.2
D13101,DIATOR TRANSMISION AUTOMATICA ATF 950 ML,36,40
D13105,DIATOR TRANSM. AUTOMATICA  ATF 19 LTS,684,760
D13111,DIATOR TRANSMISION AUTOMATICA TIPO DEXRON 950 ML,38.5,42.8
D13112,Diator Transmision Automatica Tipo Dexron 4 Lts,150,166.7
D13115,DIATOR TRANSM. AUTOMATICA  ATF 19 LTS,700,777.7
D13117,DIATOR TRANSMISION TIPO DEXRON 200LTS,"7,000.00","7,778.00"
D14111,DIATOR ANTICONGELANTE F-100 PLUS 1 LTS,33,36.7
D14112,DIATOR ANTICONGELANTE F-100 PLUS GALON,120,133.5
D1417,Diator Transmisi{on STD GL-1 140  200 Lts.,0,0
D14210,DIATOR ANTICONGELANTE ANTIFREEZE COOLANT F-100  1L,20,0
D14212,DIATOR ANTICONGELANTE ANTIFREEZE COOLANT F-100 GALON,72,80
D14215,DIATOR ANTICONGELANTE COOLANT F-100 19 LTS,345,383.3
D14217,DIATOR ANTICONGELANTE ANTIFREEZE COOLANT F-100 200 L,"3,550.00","3,945.00"
D14300,DIATOR AGUA PARA BATERIA 500 ML,7,7.8
D15010,DIATOR LIQUIDO PARA FRENOS F-100 LF-3 250 ML,16.5,18.3
D17321,DIATOR GASLUB TAXLUB SF SAE 40  950 Ml,41,45.5
D17322,Diator Gaslub SF SAE 40  4 Lts,156,173.3
D17325,DIATOR GASLUB TAXLUB SF SAE 40  19 LTS,734,815.5
D17371,DIATOR GASLUB TAXLUB SF SAE 50 950 ML,41,45.5
D17372,DIATOR GASLUB 50 SF/CC 4LTS,156,173.3
D17375,DIATOR GASLUB TAXLUB SF SAE 50  19LTS.,734,815.5
D17377,DIATOR GASLUB 50 SF/CC  200LTS,"7,350.00","8,167.00"
D17401,DIATOR TRANSMISION STD GL-1 SAE 90   950 ML,38.5,42.8
D17405,DIATOR TRANSMISION STD GL-1 SAE 90   19 LTS,700,777.7
D17407,DIATOR TRANSMISION STD GL-1 SAE 90   200 LTS,"7,000.00","7,778.00"
D17411,DIATOR TRANSMISION STD GL-1 140   950 ML,38.5,42.8
D17415,DIATOR TRANSMISION STD GL-1 140   19 LTS,700,777.7
D17417,DIATOR TRANSMISION STD GL-1 140  200 LTS.,"7,000.00","7,778.00"
D17421,DIATOR TRANSMISION STD GL-1 250   950 ML,38.5,42.8
D17425,DIATOR TRANSMISION STD GL-1 250   19 LTS,700,777.7
D17427,DIATOR TRANSMISION ESTANDAR SAE 250 200 LTS,"7,000.00","7,778.00"
D17630,DIATOR DISLUB CF/CF-2 SAE 40  950ML,40,44.5
D17632,Diator Dislub CF/CF- 2 SAE 40  4Lts,146,162.2
D17635,DIATOR DISLUB SAE 40 CF/CF2 19LTS,700,777.5
D17637,DIATOR DISLUB SAE 40 CF7CF2 200LTS,"7,000.00","7,778.00"
D17640,DIATOR DISLUB CF/CF-2 SAE 50  950ML,40,44.5
